country,iso_code,id_day_vaccinations,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Mexico,MEX,43,04/02/2021,695088,634346,60742,8487,5321,0.53,0.49,0.05,41,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,44,05/02/2021,700316,636070,64246,5228,5443,0.54,0.49,0.05,42,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,45,06/02/2021,710198,637098,73100,9882,5699,0.55,0.49,0.06,44,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,46,07/02/2021,713517,637681,75836,3319,5741,0.55,0.49,0.06,44,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,47,08/02/2021,717820,638391,79429,4303,6088,0.55,0.49,0.06,47,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,48,09/02/2021,717820,638391,79429,4303,6246,0.55,0.49,0.06,48,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,49,10/02/2021,724707,640115,84592,4303,5444,0.56,0.49,0.06,42,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,50,11/02/2021,725447,640115,85332,740,4337,0.56,0.49,0.07,33,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,51,12/02/2021,726002,640115,85887,555,3669,0.56,0.49,0.07,28,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,52,13/02/2021,726313,640125,86188,311,2302,0.56,0.49,0.07,18,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,53,14/02/2021,726313,640125,86188,311,3497,0.56,0.49,0.07,27,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,54,15/02/2021,749682,663484,86198,311,4552,0.58,0.51,0.07,35,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,55,16/02/2021,915383,829185,86198,165701,27731,0.7,0.64,0.07,213,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,56,17/02/2021,1058139,958473,99666,142756,47633,0.81,0.74,0.08,366,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,57,18/02/2021,1318055,958473,99666,259916,84658,1.01,0.74,0.08,650,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,58,19/02/2021,1574158,1155227,418931,256103,121165,1.21,0.89,0.32,930,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,59,20/02/2021,1656304,1210886,445418,82146,132856,1.27,0.93,0.34,1020,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,60,21/02/2021,1689158,1236103,453055,32854,135880,1.3,0.95,0.35,1043,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,61,22/02/2021,1733404,1277187,456217,44246,140532,1.33,0.98,0.35,1079,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,62,23/02/2021,1801156,1336854,464302,67752,126539,1.38,1.03,0.36,971,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,63,24/02/2021,1900784,1425395,475389,99628,120378,1.46,1.09,0.36,924,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,64,25/02/2021,2088813,1562401,526412,188029,110108,1.6,1.2,0.4,845,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,65,26/02/2021,2271032,1708721,562311,182219,99553,1.74,1.31,0.43,764,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,66,27/02/2021,2383411,1818034,565377,112379,103872,1.83,1.4,0.43,797,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,67,28/02/2021,2455095,1889672,565423,71684,109420,1.88,1.45,0.43,840,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,68,01/03/2021,2526863,1959525,567338,71768,113351,1.94,1.5,0.44,870,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,69,02/03/2021,2583435,2012853,570582,56572,111754,1.98,1.55,0.44,858,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,70,03/03/2021,2633580,2043941,589639,50145,104685,2.02,1.57,0.45,804,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,71,04/03/2021,2676035,2043941,589639,42455,83889,2.05,1.57,0.45,644,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,72,05/03/2021,2731900,2128766,603134,55865,65838,2.1,1.63,0.46,505,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,73,06/03/2021,2765805,2162358,603447,33905,54628,2.12,1.66,0.46,419,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,74,07/03/2021,2793106,2162358,603447,27301,48287,2.14,1.66,0.46,371,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,75,08/03/2021,2849630,2245291,604339,56524,46110,2.19,1.72,0.46,354,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,76,09/03/2021,3100868,2495067,605801,251238,73919,2.38,1.92,0.47,567,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,77,10/03/2021,3488000,2882000,606000,387132,122060,2.68,2.21,0.47,937,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
Mexico,MEX,78,11/03/2021,3800000,2882000,606000,312000,160566,2.92,2.21,0.47,1233,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,http://www.gob.mx/cms/uploads/attachment/file/695292/2022.01.25_17h00_ComunicadoTecnicoDiario_Covid19.pdf
